date,weekday,week,is_weekend
2026-09-01,Tuesday,36,False
2026-09-02,Wednesday,36,False
2026-09-03,Thursday,36,False
2026-09-04,Friday,36,False
2026-09-05,Saturday,36,True
2026-09-06,Sunday,36,True
2026-09-07,Monday,37,False
2026-09-08,Tuesday,37,False
2026-09-09,Wednesday,37,False
2026-09-10,Thursday,37,False
2026-09-11,Friday,37,False
2026-09-12,Saturday,37,True
2026-09-13,Sunday,37,True
2026-09-14,Monday,38,False
2026-09-15,Tuesday,38,False
2026-09-16,Wednesday,38,False
2026-09-17,Thursday,38,False
2026-09-18,Friday,38,False
2026-09-19,Saturday,38,True
2026-09-20,Sunday,38,True
2026-09-21,Monday,39,False
2026-09-22,Tuesday,39,False
2026-09-23,Wednesday,39,False
2026-09-24,Thursday,39,False
2026-09-25,Friday,39,False
2026-09-26,Saturday,39,True
2026-09-27,Sunday,39,True
2026-09-28,Monday,40,False
2026-09-29,Tuesday,40,False
2026-09-30,Wednesday,40,False
2026-10-01,Thursday,40,False
2026-10-02,Friday,40,False
2026-10-03,Saturday,40,True
2026-10-04,Sunday,40,True
2026-10-05,Monday,41,False
2026-10-06,Tuesday,41,False
2026-10-07,Wednesday,41,False
2026-10-08,Thursday,41,False
2026-10-09,Friday,41,False
2026-10-10,Saturday,41,True
2026-10-11,Sunday,41,True
2026-10-12,Monday,42,False
